STD_DT,PBNTC_DT,BASE_AST,STK_TP_CD,EXR_DT,STK_NM,STK_CD,BID_PRC,STK_CLPRC,ASK_PRC,SETL_PRC,TRD_AMT,OPN_INT,BASE_CLPRC,Strike,TTM,Price,S,IV,Option
20241028,20241025,S&P500,C,20241115,SPX241115C06320000,SPX US 11/15/24 C6320 Index,0.45,1.4,0.65,0.65,0,286,5808.12,6320.0,0.049315068493150684,0.65,5808.12,0.15825429329192742,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06325000,SPX US 11/15/24 C6325 Index,0.45,1.42,0.6,0.625,0,109,5808.12,6325.0,0.049315068493150684,0.625,5808.12,0.15879380138168597,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06330000,SPX US 11/15/24 C6330 Index,0.45,0.75,0.6,0.6,14,59,5808.12,6330.0,0.049315068493150684,0.6,5808.12,0.15929904184844543,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06340000,SPX US 11/15/24 C6340 Index,0.4,1.55,0.55,0.575,0,76,5808.12,6340.0,0.049315068493150684,0.575,5808.12,0.16105777828440757,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06350000,SPX US 11/15/24 C6350 Index,0.4,0.86,0.55,0.55,0,942,5808.12,6350.0,0.049315068493150684,0.55,5808.12,0.16276033695159486,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06360000,SPX US 11/15/24 C6360 Index,0.35,0.6,0.55,0.525,0,79,5808.12,6360.0,0.049315068493150684,0.525,5808.12,0.16440382554865754,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06370000,SPX US 11/15/24 C6370 Index,0.35,1.25,0.5,0.475,0,58,5808.12,6370.0,0.049315068493150684,0.475,5808.12,0.16499815321871,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06375000,SPX US 11/15/24 C6375 Index,0.35,0.8,0.5,0.475,0,60,5808.12,6375.0,0.049315068493150684,0.475,5808.12,0.16625005368932247,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06380000,SPX US 11/15/24 C6380 Index,0.3,0.97,0.5,0.475,0,90,5808.12,6380.0,0.049315068493150684,0.475,5808.12,0.16749988113805306,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06390000,SPX US 11/15/24 C6390 Index,0.3,1.1,0.45,0.45,0,75,5808.12,6390.0,0.049315068493150684,0.45,5808.12,0.16894427249554025,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06400000,SPX US 11/15/24 C6400 Index,0.3,0.35,0.45,0.425,35,6503,5808.12,6400.0,0.049315068493150684,0.425,5808.12,0.17031302434650078,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06410000,SPX US 11/15/24 C6410 Index,0.25,0.0,0.45,0.425,0,0,5808.12,6410.0,0.049315068493150684,0.425,5808.12,0.1727655806655654,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06420000,SPX US 11/15/24 C6420 Index,0.25,0.0,0.45,0.375,0,0,5808.12,6420.0,0.049315068493150684,0.375,5808.12,0.17279872597863635,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06425000,SPX US 11/15/24 C6425 Index,0.25,0.95,0.4,0.375,0,236,5808.12,6425.0,0.049315068493150684,0.375,5808.12,0.17400477616752225,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06430000,SPX US 11/15/24 C6430 Index,0.25,0.4,0.4,0.375,200,108,5808.12,6430.0,0.049315068493150684,0.375,5808.12,0.17520896093240468,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06440000,SPX US 11/15/24 C6440 Index,0.25,0.45,0.4,0.375,0,100,5808.12,6440.0,0.049315068493150684,0.375,5808.12,0.1776117813021763,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06450000,SPX US 11/15/24 C6450 Index,0.2,0.4,0.4,0.375,100,1247,5808.12,6450.0,0.049315068493150684,0.375,5808.12,0.18000727947641018,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06475000,SPX US 11/15/24 C6475 Index,0.2,0.35,0.35,0.325,20,130,5808.12,6475.0,0.049315068493150684,0.325,5808.12,0.18314479924253,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06500000,SPX US 11/15/24 C6500 Index,0.15,0.3,0.35,0.3,22,8029,5808.12,6500.0,0.049315068493150684,0.3,5808.12,0.18741563870246097,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06525000,SPX US 11/15/24 C6525 Index,0.15,0.4,0.3,0.275,0,60,5808.12,6525.0,0.049315068493150684,0.275,5808.12,0.19146433171516708,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06550000,SPX US 11/15/24 C6550 Index,0.15,0.35,0.3,0.275,0,527,5808.12,6550.0,0.049315068493150684,0.275,5808.12,0.19714729063472777,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06575000,SPX US 11/15/24 C6575 Index,0.1,0.4,0.3,0.225,0,10,5808.12,6575.0,0.049315068493150684,0.225,5808.12,0.19880186391081922,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06600000,SPX US 11/15/24 C6600 Index,0.1,0.17,0.25,0.2,9,4187,5808.12,6600.0,0.049315068493150684,0.2,5808.12,0.20201368618127818,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06650000,SPX US 11/15/24 C6650 Index,0.05,0.3,0.25,0.175,0,567,5808.12,6650.0,0.049315068493150684,0.175,5808.12,0.2101872163736804,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06700000,SPX US 11/15/24 C6700 Index,0.05,0.12,0.2,0.15,6,1181,5808.12,6700.0,0.049315068493150684,0.15,5808.12,0.2176901282678446,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06800000,SPX US 11/15/24 C6800 Index,0.05,0.15,0.2,0.125,0,996,5808.12,6800.0,0.049315068493150684,0.125,5808.12,0.23445522160822474,Call
20241028,20241025,S&P500,C,20241115,SPX241115C06900000,SPX US 11/15/24 C6900 Index,0.05,0.15,0.15,0.1,10,2853,5808.12,6900.0,0.049315068493150684,0.1,5808.12,0.24955275666854185,Call
20241028,20241025,S&P500,C,20241115,SPX241115C07000000,SPX US 11/15/24 C7000 Index,,0.1,0.15,0.1,43,4933,5808.12,7000.0,0.049315068493150684,0.1,5808.12,0.26862022914001216,Call
20241028,20241025,S&P500,C,20241115,SPX241115C07100000,SPX US 11/15/24 C7100 Index,,0.1,0.15,0.05,27,706,5808.12,7100.0,0.049315068493150684,0.05,5808.12,0.27231568522058824,Call
